Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
18,2179.0,1,2,90000,10,1982,1,850000.0,2016,7,0
27,1798.0,4,1,66000,10,1182,1,1700000.0,2019,5,0
10,998.0,4,1,23502,10,1773,1,1075000.0,2022,5,0
22,1998.0,4,0,60000,10,504,1,2499000.0,2018,5,0
26,999.0,4,0,12619,10,1024,3,352000.0,2020,5,0
10,1591.0,4,1,77394,10,1793,3,440000.00000000006,2013,5,1
17,1451.0,4,1,13900,10,886,1,1695000.0,2022,5,0
27,1968.0,1,0,46000,10,1529,1,975000.0,2015,5,0
19,1197.0,4,1,30000,10,255,1,525000.0,2020,5,1
10,1197.0,4,2,12993,10,2108,1,471000.0,2018,5,1
13,1368.0,4,0,37318,10,475,1,1300000.0,2019,5,0
30,1968.0,1,0,66000,10,1703,4,1425000.0,2017,5,0
19,1248.0,1,1,85000,10,695,1,665000.0,2015,7,1
28,1497.0,1,2,29463,10,1175,1,1121000.0,2023,5,0
10,1591.0,4,1,56000,10,516,3,825000.0,2018,5,1
9,1498.0,4,0,32000,10,416,1,970000.0,2020,5,0
18,2179.0,1,0,96000,10,1995,1,725000.0,2016,7,1
17,998.0,2,1,41030,10,2043,1,2100000.0,2023,5,0
10,998.0,4,3,11402,10,1777,1,900000.0,2021,5,1
9,1497.0,4,0,37000,10,416,1,975000.0,2019,5,0
26,999.0,4,1,44284,10,1028,1,328000.0,2020,5,0
15,1999.0,1,1,105000,10,578,1,2750000.0,2017,5,0
19,1462.0,4,0,59209,10,374,1,744000.0,2019,5,1
9,1199.0,4,1,40000,10,1861,3,560000.0,2017,5,1
10,1197.0,0,3,27125,10,823,1,455000.0,2019,5,1
10,1197.0,4,0,38987,10,829,1,479000.0,2015,5,0
19,1248.0,1,1,98000,10,387,1,599000.0,2015,5,1
0,2967.0,1,1,44000,10,1268,1,6995000.0,2020,7,0
19,1197.0,4,0,31000,10,1575,1,345000.0,2013,5,1
19,1462.0,4,1,38000,10,1963,1,1025000.0,2020,6,0
18,2179.0,1,1,72000,10,1983,3,999000.0,2016,7,0
19,998.0,4,0,38170,10,358,3,395000.0,2017,5,0
19,998.0,4,0,20624,10,362,1,515000.00000000006,2020,5,0
21,2143.0,1,1,73750,10,2123,3,3600000.0,2017,5,0
28,1493.0,2,1,50383,10,1148,1,995000.0,2022,5,0
10,1493.0,1,0,7000,10,137,1,2250000.0,2024,6,0
9,1497.0,4,1,69066,10,432,1,364000.0,2014,5,1
18,2179.0,1,1,42000,10,2002,1,695000.0,2015,7,1
21,2143.0,1,0,47000,10,450,1,1595000.0,2014,5,0
28,1956.0,1,0,26000,10,866,1,2150000.0,2022,5,0
10,1197.0,4,2,58000,10,833,1,461000.00000000006,2016,5,0
19,1197.0,4,0,46000,10,1575,1,675000.0,2020,5,1
10,1197.0,4,1,42767,10,2100,1,350000.0,2014,5,1
9,1199.0,4,3,25169,10,202,1,648000.0,2021,5,1
10,1591.0,4,0,43000,10,522,1,1099000.0,2019,5,0
9,1497.0,4,0,47843,10,410,3,335000.0,2012,5,1
17,1996.0,1,1,29170,10,808,1,3200000.0,2021,6,0
19,1248.0,1,2,87000,10,1848,3,875000.0,2018,5,0
18,1197.0,4,1,13987,10,1975,1,983000.0,2022,5,0
19,1197.0,4,2,56000,10,1603,3,385000.0,2014,5,1
10,1582.0,1,1,49958,10,513,1,945000.0,2017,5,1
19,1462.0,4,1,14500,10,375,1,1145000.0,2023,5,0
